,division,name
1,강화군,강화역사관주차장
2,강화군,양사면 교산리 공영주차장
3,강화군,용흥궁공원주차장
4,강화군,강화종합전시관(구.토산품센터)주차장
5,강화군,남산리(구.풍물시장)주차장
6,강화군,관청리주차장
7,강화군,신문리주차장
8,강화군,강화읍 신문 제1공영주차장
9,강화군,광성보주차장
10,강화군,석포리 선착장주차장
11,강화군,창리 제2공영주차장
12,강화군,강화평화전망대주차장
13,강화군,고인돌주차장
14,강화군,동막해수욕장주차장
15,계양구,경인교대 환승
16,계양구,임학
17,계양구,목수천
18,계양구,목수천
19,계양구,작전역 환승 서쪽(남측)
20,계양구,작전역 환승 동쪽(남측)
21,남동구,석산길
22,남동구,돌산마루제1호
23,남동구,돌산마루2호
24,남동구,공단 공구상가주변
25,남동구,신성길
26,남동구,만수복개천4
27,남동구,진솔
28,남동구,남동공단1호
29,남동구,장도로
30,남동구,하모니
31,남동구,향촌
32,남동구,백구로
33,남동구,만수어린이공원
34,남동구,서창5호
35,동구,중앙시장
36,동구,만석부두 공영
37,동구,송현터널 앞
38,미추홀구,관교동제3노외주차장
39,미추홀구,관교동제2노외주차장
40,미추홀구,제물포북광장
41,미추홀구,도화1동제4노외주차장
42,미추홀구,"숭의1,3동제6노상주차장"
43,미추홀구,"용현1,4동제1노상주차장"
44,미추홀구,학익1동제2노외주차장
45,미추홀구,용현3동제1노상주차장
46,미추홀구,용현5동 제2노외주차장
47,미추홀구,"용현1,4동제2노상주차장"
48,미추홀구,주안1동제2노상주차장
49,미추홀구,주안5동제2노상주차장
50,미추홀구,주안1동제4노상주차장
51,미추홀구,주안5동제3노상주차장
52,미추홀구,주안6동제3노외주차장
53,미추홀구,학익1동 제3노상주차장
54,부평구,부개1차
55,부평구,부개3차
56,부평구,희망천3지구
57,부평구,부평구청역
58,부평구,화랑로
59,부평구,부평공원앞
60,부평구,충선로311번길
61,부평구,부평삼거리역
62,부평구,백운남부1차
63,부평구,청천화물
64,서구,정서진중앙시장주차장
65,서구,인천축산물시장주차장
66,서구,검단1주차장
67,서구,석남5주차장
68,서구,서곶누리주차장
69,연수구,제8공영주차장(송도)
70,연수구,제6공영주차장(송도)
71,연수구,제9공영주차장(송도)
72,연수구,제7공영주차장(송도)
73,연수구,제8공영주차장(송도)
74,연수구,제6공영주차장(송도)
75,연수구,제7공영주차장(송도)
76,연수구,제14공영주차장(송도)
77,연수구,제14공영주차장(송도)
78,연수구,제19공영주차장(송도)
79,연수구,제4공영주차장(송도)
80,연수구,제3공영주차장(송도)
81,연수구,제4공영주차장(송도)
82,연수구,제5공영주차장(송도)
83,연수구,문학장미공원주차장
84,연수구,함박로 주차장
85,연수구,연수역북부공영주차장
86,연수구,늘봄공원지하주차장
87,연수구,그린타워주차장
88,연수구,샘말공원지하주차장
89,연수구,청학공영주차장(1)
90,연수구,청학동공영주차장(4)
91,옹진군,대청리 노상주차장
92,옹진군,서포리 해변 주차장
93,옹진군,밧지름주차장
94,옹진군,북포리 공영주차장
95,옹진군,백령공영주차장
96,옹진군,용기포 신항 주차장(건물식)
97,옹진군,사곶해변 주차장
98,옹진군,신도 선착장 주차장
99,옹진군,종합운동장 주차장
100,옹진군,외1리공영주차장
101,중구,경동공영주차장
102,중구,내동공영주차장
103,중구,월미로제4노상주차장
104,중구,월미도3공영주차장
105,중구,제물량로제2노상주차장
106,중구,동인천공영주차장
107,중구,눈돌마을
108,중구,도원로제2노상주차장
109,중구,축항대로제1노상주차장
110,중구,축항대로제2노상주차장
111,중구,연안부두로제2노상주차장
112,중구,연안부두로128번길노상주차장
113,중구,연안부두로제1노상주차장
114,중구,항동7가공영주차장
115,중구,신포동공영주차장
