lat,lng,house,evnum,building,charger,pop,pop_density,ave_traffic,loc_typ1,loc_typ2,five_days,no_five_days,weekends,no_weekends,free,no_free,tourist
37.736048,126.5142592,0.102394767,0.157349896,0.016691958,0.492307692,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.74232092,126.4986252,0.102394767,0.157349896,0.04400607,0.238461538,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.74883921,126.4867424,0.102394767,0.157349896,0.254931715,0.187692308,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.74190934,126.4883684,0.102394767,0.157349896,0.053110774,0.323076923,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.739364,126.4896322,0.102394767,0.157349896,0.02276176,0.153846154,0.092238308,0.00317488,0,0,1,0,1,1,0,0,1,15749412
37.747746,126.4829846,0.102394767,0.157349896,0.305007587,0.153846154,0.092238308,0.00317488,0,0,1,0,1,1,0,0,1,15749412
37.746913,126.4820872,0.102394767,0.157349896,0.300455235,0.187692308,0.092238308,0.00317488,0,0,1,0,1,1,0,0,1,15749412
37.74236799,126.4800651,0.102394767,0.157349896,0.033383915,0.492307692,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.664244,126.5249234,0.102394767,0.157349896,0,1,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.692933,126.3666379,0.102394767,0.157349896,0.007587253,1,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.722351,126.484017,0.102394767,0.157349896,0.010622155,0.492307692,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.826436,126.4330222,0.102394767,0.157349896,0,1,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.774084,126.4367956,0.102394767,0.157349896,0.004552352,1,0.092238308,0.00317488,0,0,1,0,1,1,0,1,0,15749412
37.592743,126.4581114,0.102394767,0.157349896,0.012139605,0.153846154,0.092238308,0.00317488,0,1,0,0,1,1,0,1,0,15749412
37.53842575,126.7220599,0.525077795,1,0.320182094,0.323076923,0.51464382,0.391049339,0,0,1,1,0,1,0,0,1,2760704
37.54877048,126.735162,0.525077795,1,0.147192716,1,0.51464382,0.391049339,0,0,1,1,0,1,0,0,1,2760704
37.525046,126.7337377,0.525077795,1,0.06676783,0.187692308,0.51464382,0.391049339,0,0,1,1,0,0,1,0,1,2760704
37.52475605,126.73343,0.525077795,1,0.06676783,0.187692308,0.51464382,0.391049339,0,0,1,1,0,0,1,0,1,2760704
37.52993902,126.7217015,0.525077795,1,0.141122914,0.187692308,0.51464382,0.391049339,0,1,0,1,0,1,0,0,1,2760704
37.52989819,126.7257395,0.525077795,1,0.179059181,0.153846154,0.51464382,0.391049339,0,1,0,1,0,1,0,0,1,2760704
37.46326912,126.7135139,0.980106263,0.622596865,0.28983308,0.238461538,0.930644179,0.550661078,0.625873926,1,0,0,1,1,0,1,0,6607194
37.465006,126.7182996,0.980106263,0.622596865,0.118361153,0.492307692,0.930644179,0.550661078,0.791527058,0,1,0,1,1,0,1,0,6607194
37.4650677,126.7173377,0.980106263,0.622596865,0.132018209,0.492307692,0.930644179,0.550661078,0,0,1,0,1,1,0,0,1,6607194
37.40695006,126.693402,0.980106263,0.622596865,0.028831563,0.111538462,0.930644179,0.550661078,0.330282891,1,0,0,1,1,0,0,1,6607194
37.4602301,126.7215912,0.980106263,0.622596865,0.188163885,0.492307692,0.930644179,0.550661078,0.760491239,1,0,0,1,1,0,0,1,6607194
37.44928563,126.7277332,0.980106263,0.622596865,0.216995448,0.323076923,0.930644179,0.550661078,0,0,1,0,1,1,0,0,1,6607194
37.4485259,126.6952091,0.980106263,0.622596865,0.180576631,0.323076923,0.930644179,0.550661078,0.459648842,0,1,0,1,1,0,0,1,6607194
37.4155497,126.7043887,0.980106263,0.622596865,0.001517451,1,0.930644179,0.550661078,0.569944171,0,1,0,1,1,0,0,1,6607194
37.3990002,126.7379909,0.980106263,0.622596865,0.02276176,0.003773585,0.930644179,0.550661078,0,1,0,0,1,1,0,0,1,6607194
37.40192748,126.7069153,0.980106263,0.622596865,0.004552352,0.044343891,0.930644179,0.550661078,0.407727026,0,1,0,1,1,0,0,1,6607194
37.4611274,126.7312856,0.980106263,0.622596865,0.203338392,0.153846154,0.930644179,0.550661078,0,0,1,0,1,1,0,0,1,6607194
37.4565407,126.7253838,0.980106263,0.622596865,0.308042489,1,0.930644179,0.550661078,0,1,0,0,1,1,0,0,1,6607194
37.4535471,126.727695,0.980106263,0.622596865,0.318664643,1,0.930644179,0.550661078,0,0,1,0,1,1,0,0,1,6607194
37.43424603,126.7512982,0.980106263,0.622596865,0.013657056,0.238461538,0.930644179,0.550661078,0,0,1,0,1,1,0,1,0,6607194
37.473842,126.635601,0.075280945,0.020112393,0.572078907,1,0.076899211,0.517657972,0,0,1,0,1,1,0,1,0,672368
37.491246,126.621762,0.075280945,0.020112393,0.007587253,1,0.076899211,0.517657972,0,0,1,0,1,1,0,0,1,672368
37.474475,126.638902,0.075280945,0.020112393,0.301972686,0.238461538,0.076899211,0.517657972,0,0,1,0,1,1,0,1,0,672368
37.4441498,126.6931142,0.822111399,0.280981958,0.075872534,0.323076923,0.723541132,1,0,0,1,0,1,0,1,0,1,86658
37.44230178,126.6938715,0.822111399,0.280981958,0.040971168,0.492307692,0.723541132,1,0,0,1,0,1,1,0,0,1,86658
37.46719244,126.656286,0.822111399,0.280981958,0.135053111,0.492307692,0.723541132,1,0,0,1,1,0,1,0,0,1,86658
37.4640654,126.6672324,0.822111399,0.280981958,0.125948407,0.323076923,0.723541132,1,0,0,1,0,1,0,1,0,1,86658
37.46142053,126.639916,0.822111399,0.280981958,0.238239757,0.238461538,0.723541132,1,0,1,0,0,1,0,1,0,1,86658
37.4508289,126.6596307,0.822111399,0.280981958,0.141122914,0.492307692,0.723541132,1,0,1,0,0,1,0,1,0,1,86658
